id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Кабанова;Immanuel_40@gmail.com;modular Бетонный ул.;2022-04-25T11:58:20;51073;32002
2;Frances;Яковлев;Harmon.97@gmail.com;Маленький Ставропольский Невероятный;2022-04-24T21:32:01;71090;65309
3;Laurence;Шарапов;Everette.@yandex.ru;кросс-платформенный;2022-04-25T12:59:39;90426;52820
4;Reuben;Никифорова;Eriberto54@hotmail.com;страховой Berkshire Пластиковый;2022-04-25T11:54:33;20289;35290
5;Marcelina;Королева;Madaline.@yahoo.com;коммуникационный Бетонный Account;2022-04-25T10:53:48;72993;41375
6;Destini;Фомичев;Zaria.@mail.ru;оптимизационный;2022-04-25T07:48:26;422;8893
7;June;Чернова;Keith3@hotmail.com;Uruguayo;2022-04-25T04:19:56;16398;79591
8;Louvenia;Сергеева;Dean_0@ya.ru;багровый Secured Ножницы;2022-04-25T01:11:25;3392;62485
9;Laurence;Зайцев;Erick.@hotmail.com;reinvent deposit;2022-04-24T23:42:35;93711;52100
10;Cathy;Мясников;Westley.@gmail.com;ул.;2022-04-25T02:14:30;39718;32719
